"gene","module","MM","GS","absMM","absGS"
"SPDEF","blue",0.871765238243531,-0.636529685305081,0.871765238243531,0.636529685305081
"GGT6","blue",0.871627279018785,-0.633824937386443,0.871627279018785,0.633824937386443
"NAAA","blue",0.871537865793287,-0.686839964585605,0.871537865793287,0.686839964585605
"LOC389332","blue",0.870831800256021,-0.655133021062281,0.870831800256021,0.655133021062281
"DHDDS","blue",0.870619997571965,-0.731724417453439,0.870619997571965,0.731724417453439
"FUCA1","blue",0.870438825550435,-0.678171036270949,0.870438825550435,0.678171036270949
"PTGDR2","blue",0.870424071854562,-0.768697357876035,0.870424071854562,0.768697357876035
"PARM1","blue",0.869575775991311,-0.724172466857739,0.869575775991311,0.724172466857739
"NANS","blue",0.869512793492959,-0.586930561058548,0.869512793492959,0.586930561058548
"SIDT1","blue",0.869252049263269,-0.634337896251615,0.869252049263269,0.634337896251615
"DPF3","blue",0.868902617565594,-0.690400042986612,0.868902617565594,0.690400042986612
"DISP2","blue",0.868741433671177,-0.775416241644533,0.868741433671177,0.775416241644533
"CAPN9","blue",0.868167321443328,-0.641293770394769,0.868167321443328,0.641293770394769
"ATP13A4","blue",0.868100158439993,-0.676178439493933,0.868100158439993,0.676178439493933
"B4GALT4","blue",0.867747184775147,-0.578841354136872,0.867747184775147,0.578841354136872
"FAM3D","blue",0.867555404198659,-0.626316660472721,0.867555404198659,0.626316660472721
"MUC4","blue",0.867467801297576,-0.668737510207045,0.867467801297576,0.668737510207045
"VPS4B","blue",0.866897882523245,-0.658365405606663,0.866897882523245,0.658365405606663
"EPHA10","blue",0.866633101497447,-0.646439426728645,0.866633101497447,0.646439426728645
"RHBDL2","blue",0.866592466433857,-0.634045688913136,0.866592466433857,0.634045688913136
"PLEKHA7","blue",0.866558640234606,-0.605054343187654,0.866558640234606,0.605054343187654
"ADCY6","blue",0.866066129793363,-0.700036412155307,0.866066129793363,0.700036412155307
"CDHR5","blue",0.865743394562974,-0.601554053740285,0.865743394562974,0.601554053740285
"SHROOM3","blue",0.865348810930317,-0.641443110869154,0.865348810930317,0.641443110869154
"RPS6KA1","blue",0.86475149501126,-0.594809357090617,0.86475149501126,0.594809357090617
"NEO1","blue",0.864255115059025,-0.71793080005337,0.864255115059025,0.71793080005337
"CLDN8","blue",0.864051198228407,-0.718794546825088,0.864051198228407,0.718794546825088
"DYRK2","blue",0.863475307178851,-0.676358947613435,0.863475307178851,0.676358947613435
"C5orf65","blue",0.86271598826465,-0.700060702061605,0.86271598826465,0.700060702061605
