"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"ZRSR2",0.024433952210444,2.55371259356422,0.226400341305652,0.821740766163709,0.94467537794577,-6.65339580928882,"ZRSR2","NS"
"ADAT1",0.0181862097457772,2.1788791622728,0.226082526143253,0.821986689447192,0.94467537794577,-6.65346783446625,"ADAT1","NS"
"XKR8",-0.0249293333524463,2.21308992526183,-0.226049074054626,0.822012575499715,0.94467537794577,-6.65347540970507,"XKR8","NS"
"CLTA",0.0255121727599548,6.92141010461808,0.225961639778535,0.822080235242898,0.94467537794577,-6.65349520394812,"CLTA","NS"
"IL17RC",-0.0342327605502786,3.47631542377372,-0.225839667206197,0.822174624216435,0.94467537794577,-6.65352280454673,"IL17RC","NS"
"FAM50B",0.0520950940419433,1.73583539644364,0.225709753203548,0.822275161607743,0.94467537794577,-6.65355218581578,"FAM50B","NS"
"SNORA5C",-0.210230932916306,3.55721841472269,-0.225599310074461,0.822360633306928,0.94467537794577,-6.65357715029412,"SNORA5C","NS"
"SLC25A39",0.0330666772601278,6.10255629112336,0.225420198434091,0.82249925202486,0.94467537794577,-6.65361761062285,"SLC25A39","NS"
"NPHP4",0.0194698418945094,1.49494375356847,0.225299296539389,0.822592824068946,0.94467537794577,-6.6536449035595,"NPHP4","NS"
"PPP1R7",-0.0230455278233253,4.88332038431946,-0.225283411817927,0.82260511824488,0.94467537794577,-6.65364848836166,"PPP1R7","NS"
"RAB11FIP1",0.0417076328857684,5.14528442928927,0.2252572886656,0.8226253366779,0.94467537794577,-6.65365438318449,"RAB11FIP1","NS"
"ZNF592",0.0186106050491257,2.6722808099602,0.225145159616923,0.822712122129577,0.94467537794577,-6.65367967792786,"ZNF592","NS"
"WNT10A",0.0375238741812626,0.943143222756261,0.225126339190557,0.822726688949899,0.94467537794577,-6.6536839223205,"WNT10A","NS"
"RPS10P7",0.0322082850139558,1.54218892736841,0.22509919277587,0.822747700111879,0.94467537794577,-6.65369004377069,"RPS10P7","NS"
"ZNF485",-0.0268229926880841,1.25966099008474,-0.225069947491974,0.822770335932202,0.94467537794577,-6.65369663768631,"ZNF485","NS"
"MAPKAPK5",0.0243780727437466,3.65647828830872,0.224987174194057,0.822834403203223,0.94467537794577,-6.65371529589413,"MAPKAPK5","NS"
"PSEN2",0.0258849067409246,3.03319868902226,0.22486001571518,0.822932827365107,0.94467537794577,-6.65374394577022,"PSEN2","NS"
"RIT1",-0.0246572988885152,2.83696338046851,-0.22481333126016,0.82296896313669,0.94467537794577,-6.65375446011393,"RIT1","NS"
"C7orf55",0.0362995185042649,4.63291815219753,0.22476935997428,0.823002999151827,0.94467537794577,-6.65376436140081,"C7orf55","NS"
"FAM192A",-0.0223320779829086,4.21694159668042,-0.224434235591448,0.823262413735561,0.944891974947136,-6.65383975992365,"FAM192A","NS"
"SETDB1",0.017502677094352,3.00541108344047,0.223896652888225,0.823678589618513,0.945288440649539,-6.65396047433596,"SETDB1","NS"
"C1orf115",0.0635620291308796,4.11647653725161,0.223705768302761,0.823826377402357,0.945376851155126,-6.65400326803105,"C1orf115","NS"
"TPM3",-0.0290067254798787,7.19939303707427,-0.223451324910892,0.824023384041845,0.945521722418818,-6.65406025408844,"TPM3","NS"
"RWDD2A",-0.0285719387828589,2.01318952587467,-0.223139349566349,0.824264951217522,0.945717695188779,-6.65413003686755,"RWDD2A","NS"
"NT5DC3",-0.0455445812233899,1.54024829162505,-0.22219944693507,0.824992835224034,0.946419622148939,-6.65433968644908,"NT5DC3","NS"
